TiNbZrCu_9	
2θ, °	Intensity, counts
39.56	2838.766
39.58	2778.498
39.6	2645.099
39.62	2694.442
39.64	2675.218
39.66	2615.685
39.68	2667.333
39.7	2703.07
39.72	2676.688
39.74	2679.382
39.76	2533.658
39.78	2598.294
39.8	2522.399
39.82	2642.51
39.84	2572.93
39.86	2518.127
39.88	2524.182
39.9	2540.184
39.92	2507.705
39.94	2595.253
39.96	2559.618
39.98	2488.364
40	2581.172
40.02	2487.905
40.04	2521.24
40.06	2488.537
40.08	2419.011
40.1	2574.382
40.12	2490.866
40.14	2477.858
40.16	2426.995
40.18	2425.516
40.2	2432.645
40.22	2509.406
40.24	2377.138
40.26	2424.754
40.28	2432.805
40.3	2432.768
40.32	2470.412
40.34	2463.423
40.36	2399.31
40.38	2463.754
40.4	2426.083
40.42	2447.221
40.44	2427.425
40.46	2341.096
40.48	2513.485
40.5	2446.915
40.52	2466.391
40.54	2423.728
40.56	2416.639
40.58	2407.827
40.6	2395.13
40.62	2445.199
40.64	2439.481
40.66	2404.913
40.68	2408.957
40.7	2408.461
40.72	2431.231
40.74	2469.368
40.76	2300.355
40.78	2480.711
40.8	2413.015
40.82	2300.61
40.84	2331.251
40.86	2454.315
40.88	2425.862
40.9	2308.88
40.92	2320.06
40.94	2319.524
40.96	2344.796
40.98	2352.864
41	2402.649
41.02	2345.458
41.04	2305.006
41.06	2268.334
41.08	2281.87
41.1	2323.668
41.12	2268.867
41.14	2267.295
41.16	2336.288
41.18	2391.15
41.2	2308.872
41.22	2237.462
41.24	2323.599
41.26	2335.01
41.28	2307.815
41.3	2301.441
41.32	2190.78
41.34	2370.383
41.36	2322.599
41.38	2249.879
41.4	2286.312
41.42	2203.146
41.44	2296.275
41.46	2308.673
41.48	2260.696
41.5	2239.347
41.52	2282.156
41.54	2279.802
41.56	2259.204
41.58	2259.096
41.6	2148.916
41.62	2228.447
41.64	2342.218
41.66	2306.284
41.68	2327.404
41.7	2208.746
41.72	2203.766
41.74	2272.204
